open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1653503460000,1978.64000000,1982.24000000,1977.60000000,1981.24000000,897.23530000,1653503519999,1776499.17731600,1117,536.15330000,1061394.65585900,0
1653503520000,1981.25000000,1981.87000000,1975.43000000,1975.70000000,945.29780000,1653503579999,1869598.92216500,901,420.60190000,831720.84015300,0
1653503580000,1975.70000000,1980.26000000,1975.35000000,1978.47000000,596.10790000,1653503639999,1179389.96705600,641,359.47890000,711215.22450500,0
1653503640000,1978.47000000,1980.66000000,1978.46000000,1979.53000000,349.39090000,1653503699999,691683.71719500,456,169.86770000,336250.47136100,0
1653503700000,1979.53000000,1981.57000000,1978.09000000,1980.68000000,648.01000000,1653503759999,1283427.04137400,619,391.80620000,775975.23324200,0
1653503760000,1980.68000000,1982.84000000,1978.12000000,1978.53000000,821.29870000,1653503819999,1626717.33719800,792,305.95630000,606079.26284700,0
1653503820000,1978.53000000,1980.28000000,1976.27000000,1978.18000000,1484.99740000,1653503879999,2937601.46120400,1091,742.96530000,1469644.06890200,0
1653503880000,1978.18000000,1979.75000000,1974.76000000,1975.33000000,776.68400000,1653503939999,1535393.05311500,740,305.69240000,604337.76076300,0
1653503940000,1975.33000000,1975.34000000,1971.70000000,1971.70000000,730.70920000,1653503999999,1442054.77228900,747,330.27520000,651769.24207400,0
1653504000000,1971.71000000,1976.25000000,1971.70000000,1975.95000000,362.76240000,1653504059999,716157.06602200,480,224.34480000,442818.88724600,0
1653504060000,1975.95000000,1977.24000000,1970.80000000,1972.20000000,1272.23030000,1653504119999,2511012.25649300,993,488.14370000,963111.02134600,0
1653504120000,1972.21000000,1972.66000000,1970.13000000,1971.99000000,536.91200000,1653504179999,1058461.89580500,579,300.11670000,591605.00252100,0
1653504180000,1971.99000000,1974.51000000,1970.41000000,1970.49000000,625.64110000,1653504239999,1233954.21329000,594,275.46910000,543228.55137400,0
1653504240000,1970.49000000,1971.34000000,1969.45000000,1969.72000000,453.50330000,1653504299999,893583.19230300,444,263.96820000,520108.35448700,0
1653504300000,1969.72000000,1971.78000000,1969.71000000,1970.21000000,465.19500000,1653504359999,916789.49254700,513,253.14720000,498850.44717200,0
1653504360000,1970.22000000,1971.11000000,1969.15000000,1969.40000000,259.41180000,1653504419999,511095.51691700,322,130.12210000,256360.37195800,0
1653504420000,1969.40000000,1970.48000000,1968.45000000,1969.68000000,304.49430000,1653504479999,599697.37319800,376,152.03710000,299417.75683300,0
1653504480000,1969.68000000,1970.01000000,1968.23000000,1968.24000000,325.81380000,1653504539999,641540.58720400,342,214.24560000,421842.64158700,0
1653504540000,1968.24000000,1969.00000000,1965.98000000,1966.20000000,357.35550000,1653504599999,703151.06739600,427,146.55970000,288321.07111900,0
1653504600000,1966.20000000,1970.39000000,1966.20000000,1970.38000000,484.84840000,1653504659999,954644.29855700,490,317.88060000,625829.40998300,0
1653504660000,1970.39000000,1972.99000000,1969.07000000,1969.07000000,503.61280000,1653504719999,992674.51564300,585,251.32000000,495293.07787600,0
1653504720000,1969.08000000,1969.93000000,1967.55000000,1969.93000000,355.28860000,1653504779999,699469.78215000,376,191.35180000,376717.11131200,0
1653504780000,1969.92000000,1971.78000000,1969.92000000,1971.34000000,198.27220000,1653504839999,390825.36055300,318,87.59210000,172660.01162700,0
1653504840000,1971.35000000,1973.11000000,1971.34000000,1971.97000000,220.59090000,1653504899999,435075.55882500,332,136.69800000,269594.89825800,0
1653504900000,1971.96000000,1975.00000000,1971.96000000,1974.99000000,371.88640000,1653504959999,733848.45540900,513,243.08990000,479665.11480500,0
1653504960000,1974.99000000,1975.00000000,1973.55000000,1975.00000000,326.19870000,1653505019999,644043.58056200,308,121.50770000,239897.90036700,0
1653505020000,1974.99000000,1976.95000000,1974.99000000,1975.38000000,490.17750000,1653505079999,968425.19998800,451,341.20350000,674066.13134100,0
1653505080000,1975.38000000,1976.17000000,1974.38000000,1974.83000000,144.91980000,1653505139999,286244.10047300,214,64.62230000,127639.72286200,0
1653505140000,1974.82000000,1975.74000000,1974.06000000,1975.61000000,232.97560000,1653505199999,460170.80743700,246,138.84040000,274227.61563800,0
1653505200000,1975.62000000,1977.98000000,1973.26000000,1977.97000000,478.31090000,1653505259999,944929.38299500,542,267.18830000,527827.61021600,0
1653505260000,1977.98000000,1978.52000000,1977.02000000,1977.41000000,368.49550000,1653505319999,728779.47543400,384,176.73050000,349514.89319100,0
1653505320000,1977.41000000,1978.16000000,1976.74000000,1977.89000000,385.16280000,1653505379999,761699.71003600,368,166.55330000,329368.98660000,0
1653505380000,1977.90000000,1979.77000000,1977.14000000,1979.38000000,261.20530000,1653505439999,516775.12914700,343,157.34470000,311284.86462300,0
1653505440000,1979.39000000,1980.08000000,1978.11000000,1979.12000000,724.09870000,1653505499999,1433189.57435000,667,352.92520000,698500.54906000,0
1653505500000,1979.11000000,1979.52000000,1975.50000000,1975.62000000,501.25070000,1653505559999,991112.45546600,464,204.79660000,404875.34373300,0
1653505560000,1975.63000000,1975.66000000,1974.48000000,1975.57000000,161.72050000,1653505619999,319411.96468600,261,60.38440000,119247.63336600,0
1653505620000,1975.57000000,1975.76000000,1972.63000000,1974.56000000,227.17690000,1653505679999,448422.78983200,370,122.98540000,242711.93986400,0
1653505680000,1974.57000000,1975.51000000,1974.00000000,1974.13000000,405.89040000,1653505739999,801520.44680000,389,169.34060000,334351.66236500,0
1653505740000,1974.12000000,1974.67000000,1973.55000000,1974.63000000,157.54360000,1653505799999,311019.43337600,209,94.05210000,185664.32352700,0
1653505800000,1974.64000000,1974.64000000,1973.67000000,1974.53000000,238.78170000,1653505859999,471362.33515500,232,121.44820000,239721.46325000,0
1653505860000,1974.53000000,1974.99000000,1974.37000000,1974.98000000,113.49400000,1653505919999,224099.94282800,184,52.84990000,104354.55022200,0
1653505920000,1974.99000000,1975.50000000,1973.65000000,1975.33000000,243.06650000,1653505979999,479973.64380900,259,104.83130000,207014.73582800,0
1653505980000,1975.32000000,1975.33000000,1973.97000000,1975.00000000,121.74110000,1653506039999,240389.45742700,162,66.94190000,132171.42883100,0
1653506040000,1974.99000000,1975.33000000,1972.46000000,1972.72000000,202.59910000,1653506099999,399977.80713100,284,35.77950000,70637.32785000,0
1653506100000,1972.72000000,1973.31000000,1967.57000000,1967.89000000,430.12100000,1653506159999,847337.13431600,586,176.83180000,348271.86094200,0
1653506160000,1967.89000000,1970.62000000,1967.62000000,1969.43000000,539.10200000,1653506219999,1061507.28959600,522,387.34750000,762649.66058900,0
1653506220000,1969.43000000,1969.43000000,1967.45000000,1967.97000000,236.52680000,1653506279999,465567.12556500,377,95.33910000,187633.58529300,0
1653506280000,1967.97000000,1968.73000000,1967.01000000,1968.29000000,241.96290000,1653506339999,476130.36768500,383,154.48290000,303981.42790400,0
1653506340000,1968.29000000,1968.30000000,1967.00000000,1967.70000000,268.60310000,1653506399999,528470.29662700,255,95.06640000,187024.98787200,0
1653506400000,1967.69000000,1968.42000000,1966.80000000,1967.29000000,249.57710000,1653506459999,490995.55709800,351,100.19320000,197106.54248300,0
1653506460000,1967.29000000,1968.38000000,1967.19000000,1967.30000000,164.52550000,1653506519999,323733.50959700,284,96.15640000,189202.98029700,0
1653506520000,1967.29000000,1967.30000000,1964.69000000,1965.44000000,332.92840000,1653506579999,654533.77714800,381,65.05920000,127885.26592100,0
1653506580000,1965.44000000,1966.89000000,1965.44000000,1966.57000000,183.03360000,1653506639999,359873.11963900,232,130.88640000,257326.63214900,0
1653506640000,1966.58000000,1967.61000000,1965.89000000,1967.60000000,239.29600000,1653506699999,470672.90381100,309,127.32770000,250432.94745400,0
1653506700000,1967.60000000,1967.73000000,1965.79000000,1967.73000000,257.27450000,1653506759999,506018.44901500,296,137.83170000,271053.35008600,0
1653506760000,1967.72000000,1968.91000000,1967.72000000,1968.23000000,248.79200000,1653506819999,489657.20972400,349,147.18350000,289662.69148600,0
1653506820000,1968.23000000,1968.78000000,1967.67000000,1968.51000000,88.90080000,1653506879999,174973.20400200,192,37.34350000,73507.14182200,0
1653506880000,1968.51000000,1968.92000000,1966.21000000,1966.99000000,195.76160000,1653506939999,385135.61823200,247,87.81840000,172714.77227600,0
1653506940000,1966.99000000,1967.18000000,1965.54000000,1965.83000000,240.49640000,1653506999999,472939.84990100,301,92.68260000,182228.70349800,0
1653507000000,1965.83000000,1967.00000000,1965.45000000,1965.46000000,234.76250000,1653507059999,461655.61053500,319,110.24540000,216778.02564900,0
